Id;Label;True Community;Detected Community;
0;CBZ9z:0;1;11621
1;B_GC2;null;0
2;CAS9nc;null;0
3;CBZ9z:1;1;11621
4;I6JCeH;null;0
5;B_qlt;null;0
6;CANFM;null;0
7;JYLfMJ;null;0
8;CBZ9z:2;1;11621
9;Eu6YM;null;0
10;I6JHGz;null;0
11;CAhib;null;0
12;CBZ9z:3;1;11621
13;CBZ9z:4;1;11621
14;B_ITC;null;0
15;CBZ9z:5;1;11621
17;CBZ9z:6;1;11621
16;HQYY;null;0
19;CqGQF;null;0
18;F2FG;null;0
21;CBZ9z:7;2;11721
20;B_58c;null;0
23;CEQwk;null;0
22;C-Abv;null;0
25;CBZ9z:8;2;9491
24;DROdl;null;0
27;CBZ9z:9;6;6031
26;DROd8;null;0
29;I1GaW0;null;0
28;I2EnW2;null;0
31;B_KtY;null;0
30;JDXmCH;null;0
34;iU8-F;null;0
35;JUFV1G;null;0
32;Xvq5U;null;0
33;Fh_74;null;0
38;CBZ9z:11;1;11621
39;B_NrP;null;0
36;CBZ9z:10;1;11751
37;JYO4V1;null;0
42;B_ME2;null;0
43;B_UDzB;null;0
40;B_E5r;null;0
41;CBZ9z:12;1;11621
46;I2EnWu;null;0
47;DvscL;null;0
44;CBZ9z:13;1;11621
45;CBZ9z:14;6;6031
51;EgR2G;null;0
50;I_rtyT;null;0
49;Dmsdz;null;0
48;BEok9;null;0
55;CGzDE;null;0
54;CBZ9z:16;1;11621
53;CBZ9z:15;1;6031
52;B_E7B;null;0
59;CBZ9z:18;1;11621
58;uxjMs;null;0
57;CBZ9z:17;1;11621
56;FcqQw;null;0
63;CBZ9z:20;1;201
62;JV8Vl1;null;0
61;C4L7F;null;0
60;CBZ9z:19;1;11621
68;CBZ9z:22;8;11121
69;cwyF;null;0
70;B_FEn;null;0
71;CBZ9z:23;2;11721
64;CBZ9z:21;1;11621
65;JSxFeC;null;0
66;CKuar;null;0
67;B3ZMsH;null;0
76;CBZ9z:25;1;11621
77;CBZ9z:26;1;11621
78;CBZ9z:27;1;11621
79;CdMsu;null;0
72;UF_18;null;0
73;CBZ9z:24;1;11621
74;bfnZb;null;0
75;JDZj_t;null;0
85;CBZ9z:31;1;11621
84;GNEzz;null;0
